Rainfall - (MM), Year,Month, Country, ISO3
141.438,1945,6, India, IND
309.369,1945,7, India, IND
229.109,1945,8, India, IND
202.045,1945,9, India, IND
76.4292,1945,10, India, IND
16.6912,1945,11, India, IND
4.54407,1945,12, India, IND
1.75603,1946,1, India, IND
14.2882,1946,2, India, IND
14.5608,1946,3, India, IND
44.3576,1946,4, India, IND
56.4068,1946,5, India, IND
178.361,1946,6, India, IND
273.906,1946,7, India, IND
281.347,1946,8, India, IND
133.473,1946,9, India, IND
77.7044,1946,10, India, IND
66.7255,1946,11, India, IND
22.6696,1946,12, India, IND
17.0775,1947,1, India, IND
13.2529,1947,2, India, IND
20.5336,1947,3, India, IND
25.461,1947,4, India, IND
42.854,1947,5, India, IND
111.627,1947,6, India, IND
289.364,1947,7, India, IND
287.509,1947,8, India, IND
244.951,1947,9, India, IND
63.017,1947,10, India, IND
6.44128,1947,11, India, IND
15.1052,1947,12, India, IND
21.184,1948,1, India, IND
20.1762,1948,2, India, IND
19.6219,1948,3, India, IND
40.4647,1948,4, India, IND
59.4216,1948,5, India, IND
134.443,1948,6, India, IND
278.011,1948,7, India, IND
261.614,1948,8, India, IND
161.732,1948,9, India, IND
58.7658,1948,10, India, IND
62.2387,1948,11, India, IND
5.13441,1948,12, India, IND
7.86124,1949,1, India, IND
14.6063,1949,2, India, IND
13.0498,1949,3, India, IND
39.6758,1949,4, India, IND
67.2664,1949,5, India, IND
138.945,1949,6, India, IND
301.427,1949,7, India, IND
239.695,1949,8, India, IND
211.892,1949,9, India, IND
85.6469,1949,10, India, IND
8.49027,1949,11, India, IND
1.43316,1949,12, India, IND
13.661,1950,1, India, IND
16.8947,1950,2, India, IND
23.809,1950,3, India, IND
14.286,1950,4, India, IND
40.1394,1950,5, India, IND
129.553,1950,6, India, IND
305.473,1950,7, India, IND
227.764,1950,8, India, IND
176.793,1950,9, India, IND
48.6811,1950,10, India, IND
23.2498,1950,11, India, IND
5.88732,1950,12, India, IND
9.16194,1951,1, India, IND
4.81436,1951,2, India, IND
28.3158,1951,3, India, IND
35.804,1951,4, India, IND
49.4651,1951,5, India, IND
142.016,1951,6, India, IND
264.72,1951,7, India, IND
222.841,1951,8, India, IND
132.636,1951,9, India, IND
68.4243,1951,10, India, IND
29.8797,1951,11, India, IND
2.48916,1951,12, India, IND
6.50799,1952,1, India, IND
13.0193,1952,2, India, IND
21.2703,1952,3, India, IND
33.2554,1952,4, India, IND
53.1473,1952,5, India, IND
150.108,1952,6, India, IND
240.973,1952,7, India, IND
218.71,1952,8, India, IND
109.079,1952,9, India, IND
70.3796,1952,10, India, IND
6.37721,1952,11, India, IND
17.2182,1952,12, India, IND
19.766,1953,1, India, IND
6.55607,1953,2, India, IND
12.4149,1953,3, India, IND
33.97,1953,4, India, IND
35.9988,1953,5, India, IND
163.217,1953,6, India, IND
279.939,1953,7, India, IND
265.872,1953,8, India, IND
163.98,1953,9, India, IND
82.1843,1953,10, India, IND
9.34745,1953,11, India, IND
2.80627,1953,12, India, IND
16.2068,1954,1, India, IND
22.7791,1954,2, India, IND
13.2986,1954,3, India, IND
23.9819,1954,4, India, IND
44.971,1954,5, India, IND
150.011,1954,6, India, IND
279.325,1954,7, India, IND
241.054,1954,8, India, IND
217.987,1954,9, India, IND
68.5924,1954,10, India, IND
2.02737,1954,11, India, IND
12.0228,1954,12, India, IND
17.1391,1955,1, India, IND
4.23335,1955,2, India, IND
18.8458,1955,3, India, IND
32.6847,1955,4, India, IND
56.3406,1955,5, India, IND
154.39,1955,6, India, IND
235.133,1955,7, India, IND
310.224,1955,8, India, IND
212.781,1955,9, India, IND
118.858,1955,10, India, IND
24.0462,1955,11, India, IND
8.12614,1955,12, India, IND
12.7513,1956,1, India, IND
7.57189,1956,2, India, IND
20.4184,1956,3, India, IND
27.9763,1956,4, India, IND
68.408,1956,5, India, IND
201.446,1956,6, India, IND
324.902,1956,7, India, IND
254.245,1956,8, India, IND
175.611,1956,9, India, IND
114.903,1956,10, India, IND
43.1264,1956,11, India, IND
8.88818,1956,12, India, IND
24.5157,1957,1, India, IND
6.44965,1957,2, India, IND
