year,month,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1922,12,3.667,0.234,8.968,0.241,-1.865,0.29,13.503,0.119
1923,1,2.487,0.276,8.21,0.259,-3.195,0.349,13.24,0.127
1923,2,2.563,0.262,8.298,0.318,-3.172,0.263,13.358,0.124
1923,3,4.866,0.226,10.786,0.194,-1.256,0.252,14.049,0.122
1923,4,7.749,0.24,13.64,0.283,1.602,0.311,14.959,0.122
1923,5,10.849,0.292,16.825,0.346,4.79,0.385,15.724,0.128
1923,6,13.296,0.259,19.056,0.231,7.139,0.277,16.452,0.12
1923,7,13.984,0.3,19.81,0.323,8.012,0.343,16.628,0.129
1923,8,13.611,0.34,19.445,0.333,7.645,0.3,16.54,0.137
1923,9,11.883,0.256,17.783,0.291,5.816,0.231,15.992,0.12
1923,10,9.52,0.191,15.188,0.341,3.523,0.225,15.249,0.112
1923,11,6.378,0.179,11.871,0.22,0.474,0.232,14.404,0.112
1923,12,3.88,0.216,9.269,0.278,-1.903,0.31,13.739,0.119
1924,1,2.339,0.29,7.912,0.298,-3.502,0.377,13.303,0.134
1924,2,2.888,0.288,8.609,0.469,-3.025,0.383,13.585,0.127
1924,3,5.352,0.208,11.24,0.183,-0.806,0.262,14.325,0.119
1924,4,7.97,0.267,13.857,0.274,1.722,0.299,15.081,0.127
1924,5,11.188,0.298,17.185,0.31,4.905,0.325,15.918,0.127
1924,6,13.342,0.241,19.195,0.284,7.085,0.244,16.461,0.116
1924,7,14.304,0.307,20.057,0.322,8.161,0.326,16.724,0.131
1924,8,13.654,0.326,19.519,0.312,7.585,0.338,16.556,0.134
1924,9,11.957,0.232,17.783,0.219,6.024,0.252,16.003,0.122
1924,10,9.203,0.182,14.896,0.243,3.29,0.223,15.042,0.117
1924,11,6.4,0.2,11.794,0.191,0.656,0.193,14.132,0.116
1924,12,3.485,0.243,8.639,0.246,-2.021,0.309,13.342,0.124
1925,1,2.268,0.228,7.484,0.289,-3.179,0.283,13.157,0.125
1925,2,2.701,0.236,8.51,0.254,-3.314,0.335,13.361,0.121
1925,3,5.126,0.224,11.133,0.206,-1.14,0.247,14.155,0.124
1925,4,8.442,0.244,14.538,0.272,2.178,0.315,15.011,0.124
1925,5,11.039,0.286,17.032,0.324,4.828,0.31,15.855,0.13
1925,6,13.089,0.22,19.041,0.283,6.883,0.276,16.413,0.116
1925,7,14.066,0.3,19.971,0.279,8.047,0.306,16.74,0.129
1925,8,13.769,0.32,19.737,0.289,7.724,0.367,16.716,0.135
1925,9,11.979,0.235,17.874,0.244,6.008,0.222,16.14,0.126
1925,10,9.196,0.193,14.889,0.188,3.287,0.253,15.221,0.117
1925,11,6.34,0.196,11.912,0.193,0.646,0.268,14.418,0.118
1925,12,4.398,0.207,10.011,0.244,-1.47,0.305,13.897,0.122
1926,1,3.453,0.258,8.785,0.277,-2.222,0.233,13.739,0.128
1926,2,3.717,0.211,9.503,0.249,-2.307,0.31,13.842,0.115
1926,3,5.831,0.178,11.593,0.198,-0.234,0.258,14.536,0.116
1926,4,8.193,0.259,14.095,0.298,2.006,0.299,15.214,0.127
1926,5,10.931,0.295,16.688,0.301,4.806,0.335,15.932,0.129
1926,6,13.285,0.231,19.214,0.229,7.079,0.261,16.581,0.117
1926,7,14.168,0.287,19.998,0.297,8.058,0.332,16.766,0.13
1926,8,13.877,0.321,19.695,0.304,7.916,0.345,16.8,0.135
1926,9,12.075,0.242,17.816,0.231,6.15,0.255,16.222,0.12
1926,10,9.55,0.2,15.474,0.193,3.601,0.241,15.372,0.115
1926,11,6.3,0.208,11.936,0.245,0.618,0.248,14.351,0.116
1926,12,3.366,0.222,8.63,0.25,-2.248,0.264,13.538,0.121
1927,1,2.372,0.268,7.935,0.229,-3.512,0.251,13.323,0.13
1927,2,3.039,0.244,8.67,0.25,-2.866,0.315,13.65,0.12
1927,3,4.668,0.223,10.565,0.232,-1.495,0.31,14.084,0.121
1927,4,8.035,0.239,14.007,0.256,1.852,0.368,15.045,0.118
1927,5,11.104,0.297,16.998,0.28,4.873,0.32,15.873,0.127
1927,6,13.272,0.23,19.136,0.245,7.106,0.265,16.444,0.114
1927,7,14.323,0.302,20.237,0.262,8.284,0.33,16.812,0.13
1927,8,13.698,0.34,19.529,0.3,7.697,0.314,16.742,0.136
1927,9,12.254,0.24,18.109,0.206,6.26,0.251,16.224,0.119
1927,10,9.887,0.2,15.627,0.205,4.02,0.268,15.435,0.112
1927,11,6.346,0.192,12.072,0.219,0.596,0.268,14.342,0.113
1927,12,3.267,0.212,8.689,0.301,-2.392,0.283,13.493,0.12
1928,1,3.046,0.211,8.291,0.228,-2.631,0.291,13.637,0.121
1928,2,3.333,0.241,9.04,0.317,-2.609,0.296,13.722,0.123
1928,3,4.959,0.191,10.892,0.23,-1.247,0.296,14.229,0.119
1928,4,8.244,0.276,14.193,0.219,2.046,0.304,15.126,0.127
1928,5,11.169,0.321,17.06,0.274,4.981,0.335,15.88,0.134
1928,6,13.113,0.238,18.856,0.254,7.045,0.265,16.355,0.119
1928,7,14.31,0.297,20.005,0.297,8.189,0.298,16.796,0.128
1928,8,13.687,0.327,19.522,0.305,7.798,0.319,16.7,0.133
1928,9,12.03,0.235,17.981,0.223,6.02,0.237,16.066,0.12
1928,10,9.486,0.193,15.387,0.19,3.549,0.214,15.232,0.112
1928,11,6.336,0.231,11.933,0.177,0.629,0.241,14.276,0.122
1928,12,3.873,0.222,9.186,0.26,-1.751,0.257,13.568,0.122
1929,1,2.054,0.289,7.48,0.298,-3.66,0.272,13.137,0.134
1929,2,2.172,0.229,7.838,0.219,-3.883,0.274,13.241,0.12
1929,3,5.099,0.191,10.982,0.229,-1.131,0.289,14.079,0.121
1929,4,8.094,0.265,14.08,0.292,1.842,0.281,14.987,0.126
1929,5,10.915,0.294,16.906,0.258,4.784,0.334,15.716,0.128
1929,6,12.928,0.232,18.65,0.26,6.908,0.291,16.328,0.117
1929,7,13.957,0.314,19.652,0.314,8.012,0.318,16.59,0.134
1929,8,13.68,0.33,19.548,0.301,7.697,0.328,16.671,0.138
1929,9,11.807,0.255,17.598,0.199,5.926,0.238,16.092,0.126
1929,10,9.46,0.195,15.217,0.182,3.686,0.226,15.248,0.113
1929,11,6.172,0.207,11.757,0.175,0.377,0.213,14.313,0.118
1929,12,2.571,0.22,7.769,0.222,-2.945,0.242,13.207,0.121
1930,1,2.401,0.226,7.67,0.216,-3.169,0.343,13.26,0.13
1930,2,3.152,0.236,8.9,0.252,-2.852,0.252,13.54,0.126
1930,3,5.483,0.191,11.539,0.273,-0.571,0.209,14.326,0.127
1930,4,8.182,0.242,14.017,0.254,2.072,0.271,15.081,0.124
1930,5,11.105,0.292,16.87,0.272,5.016,0.314,15.911,0.131
1930,6,13.347,0.231,19.071,0.264,7.295,0.309,16.473,0.122
1930,7,14.465,0.301,20.252,0.267,8.415,0.287,16.854,0.137
1930,8,13.928,0.327,19.803,0.291,7.996,0.304,16.791,0.146
1930,9,11.874,0.247,17.754,0.204,5.935,0.237,16.25,0.131
1930,10,9.261,0.187,14.941,0.205,3.587,0.25,15.355,0.121
1930,11,6.574,0.202,12.032,0.186,0.892,0.213,14.505,0.128
